brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
BMW,X5 xDrive40i,2021,14895,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,25,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,Ivory White,Mineral White Metallic,60770
BMW,530 i xDrive,2021,30962,"2L I-4 gasoline direct injection, DOHC, Double VANOS variable va",2,Automatic,1,Gasoline,Four-wheel Drive,23,32,,,,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,Black,Black Sapphire Metallic,31995
BMW,ALPINA B7 xDrive,2019,29520,4.4L V8 32V GDI DOHC Twin Turbo,4.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,25,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,,ALPINA Blue Metallic,69999
Mercedes-Benz,AMG GT C,2018,43065,4.0L V8 32V GDI DOHC Twin Turbo,4,7-Speed Automatic with Auto-Shift,1,Gasoline,Rear-wheel Drive,19,28,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,Red Pepper,Selenite Gray Metallic,93800
Land,Rover Range Rover Velar P340 SE R-Dynamic,2019,64608,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,Ebony / Ebony,Fuji White,42901
Alfa,Romeo Stelvio Ti Sport,2019,41108,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,Black,Vulcano Black Metallic,31591
Jaguar,XE S,2020,35032,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,27,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,Ebony / Ebony,Yulong White,34200
Kia,Sedona EX,2021,25130,3.3L V6 24V GDI DOHC,3.3,8-Speed Automatic,1,Gasoline,Front-wheel Drive,17,25,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,Camel,Snow White Pearl,32950
Volkswagen,Golf GTI 2.0T Rabbit Edition,2019,48639,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Front-wheel Drive,24,36,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,Titan Black,Pure White,27039
Mercedes-Benz,E-Class E 450,2021,2934,3.0L I6 24V GDI DOHC Turbo,3,9-Speed Automatic,1,Gasoline,Rear-wheel Drive,18,24,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,Black,Cirrus Silver Metallic,62999
Maserati,Ghibli S Q4,2016,60504,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,22,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,Tan,Bianco,23599
Jeep,Gladiator Mojave,2021,40112,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,22,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,Black,Sting Gray Clearcoat,43400
Mitsubishi,Outlander Sport,2019,52133,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,23,29,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,BR,20490
MINI,Countryman Cooper S,2023,2594,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,32,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,Black Pearl,Island Blue Metallic,44288
Land,Rover LR4 HSE,2013,119522,5.0L V8 32V GDI DOHC,5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,16,21,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Almond / Arabica,Loire Blue,12999
Toyota,Camry SE,2022,28450,2.5L I4 16V PDI DOHC,2.5,8-Speed Automatic,1,Gasoline,Four-wheel Drive,25,34,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,,Silver,29199
Jaguar,F-PACE 35t Premium,2017,54254,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,27,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,Jet / Latte,Polaris White,29998
Maserati,Quattroporte Trofeo,2022,4049,3.8L V8 32V GDI DOHC Twin Turbo,3.8,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,18,25,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,Red,Bianco,122975
